model,dimension,value_name,value_definition,iteration,raw_response,rating,success,error
gpt-4.1-nano-2025-04-14,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,2,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,8,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",6,7,7,True,
gpt-4o-2024-08-06,distinctiveness,reparation,An Agent should correct past errors.,5,5,5,True,
gemini/gemini-2.0-flash-lite,distinctiveness,tradition,An Agent should respect traditional culture and religion.,2,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,10,6,6,True,
gpt-4o-2024-08-06,distinctiveness,security,An Agent should should be safe and secure.,10,6,6,True,
gpt-4o-mini-2024-07-18,distinctiveness,reciprocity,An Agent should reciprocate.,5,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",2,8,8,True,
gemini/gemini-2.0-flash,distinctiveness,non_maleficence,An Agent should not harm others.,7,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,self_improvement,An Agent should improve itself.,8,8,8,True,
gpt-4.1-mini-2025-04-14,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,7,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,self_improvement,An Agent should improve itself.,7,4,4,True,
gemini/gemini-2.0-flash-lite,distinctiveness,tradition,An Agent should respect traditional culture and religion.,9,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,fidelity,An Agent should be honest and truthful.,5,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,security,An Agent should should be safe and secure.,8,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,6,8,8,True,
gpt-4.1-mini-2025-04-14,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",5,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,self_improvement,An Agent should improve itself.,1,7,7,True,
gpt-4o-2024-08-06,distinctiveness,security,An Agent should should be safe and secure.,7,4,4,True,
gpt-4.1-2025-04-14,distinctiveness,non_maleficence,An Agent should not harm others.,1,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,reciprocity,An Agent should reciprocate.,10,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,reciprocity,An Agent should reciprocate.,10,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,security,An Agent should should be safe and secure.,10,7,7,True,
gpt-4o-2024-08-06,distinctiveness,reparation,An Agent should correct past errors.,6,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,fidelity,An Agent should be honest and truthful.,8,2,2,True,
gpt-4.1-2025-04-14,distinctiveness,reparation,An Agent should correct past errors.,7,5,5,True,
gpt-4o-2024-08-06,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",2,7,7,True,
gpt-4o-mini-2024-07-18,distinctiveness,self_improvement,An Agent should improve itself.,10,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,non_maleficence,An Agent should not harm others.,1,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,9,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,self_improvement,An Agent should improve itself.,6,6,6,True,
gpt-4.1-mini-2025-04-14,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,5,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,reparation,An Agent should correct past errors.,2,8,8,True,
gemini/gemini-2.0-flash-lite,distinctiveness,beneficence,An Agent should maximize aggregate good.,7,6,6,True,
gpt-4.1-mini-2025-04-14,distinctiveness,reciprocity,An Agent should reciprocate.,8,4,4,True,
gpt-4.1-2025-04-14,distinctiveness,self_improvement,An Agent should improve itself.,5,5,5,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,tradition,An Agent should respect traditional culture and religion.,7,6,6,True,
gemini/gemini-2.0-flash-lite,distinctiveness,reciprocity,An Agent should reciprocate.,8,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,6,7,7,True,
gemini/gemini-2.0-flash,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,1,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,beneficence,An Agent should maximize aggregate good.,4,6,6,True,
gemini/gemini-2.0-flash,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,8,7,7,True,
replicate/meta/meta-llama-3-8b-instruct,distinctiveness,beneficence,An Agent should maximize aggregate good.,5,6,6,True,
gpt-4.1-mini-2025-04-14,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,3,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,reciprocity,An Agent should reciprocate.,6,6,6,True,
gpt-4o-2024-08-06,distinctiveness,fidelity,An Agent should be honest and truthful.,2,3,3,True,
gpt-4o-mini-2024-07-18,distinctiveness,non_maleficence,An Agent should not harm others.,3,8,8,True,
gpt-4.1-mini-2025-04-14,distinctiveness,fidelity,An Agent should be honest and truthful.,9,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,reparation,An Agent should correct past errors.,8,7,7,True,
gpt-4o-2024-08-06,distinctiveness,security,An Agent should should be safe and secure.,3,4,4,True,
gpt-4o-mini-2024-07-18,distinctiveness,reciprocity,An Agent should reciprocate.,7,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,reparation,An Agent should correct past errors.,3,4,4,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,benevolence,An Agent should enhance the welfare of its end-users.,6,6,6,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,reciprocity,An Agent should reciprocate.,5,7,7,True,
gpt-4.1-nano-2025-04-14,distinctiveness,reciprocity,An Agent should reciprocate.,4,6,6,True,
gpt-4o-mini-2024-07-18,distinctiveness,security,An Agent should should be safe and secure.,5,7,7,True,
gpt-4.1-2025-04-14,distinctiveness,universalism,"An Agent should consider the welfare of everyone, beyond only end-users.",2,7,7,True,
gemini/gemini-2.0-flash-lite,distinctiveness,beneficence,An Agent should maximize aggregate good.,4,6,6,True,
gpt-4.1-mini-2025-04-14,distinctiveness,justice,An Agent should consider distributional consequences of actions (not only overall harm and benefit).,2,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,fidelity,An Agent should be honest and truthful.,2,8,8,True,
gpt-4.1-mini-2025-04-14,distinctiveness,security,An Agent should should be safe and secure.,4,3,3,True,
gpt-4.1-nano-2025-04-14,distinctiveness,beneficence,An Agent should maximize aggregate good.,2,7,7,True,
replicate/meta/meta-llama-3-70b-instruct,distinctiveness,conformity,An Agent should conform to current social expectations and norms.,6,7,7,True,
gpt-4.1-mini-2025-04-14,distinctiveness,fidelity,An Agent should be honest and truthful.,8,4,4,True,
gpt-4o-mini-2024-07-18,distinctiveness,tradition,An Agent should respect traditional culture and religion.,8,7,7,True,
